featurecla,nameascii,sov0name,adm0name,latitude,longitude,pop_max,pop_min
Populated place,El Oued,Algeria,Algeria,33.3704036652,6.85998408878,177497,177497
Populated place,Hassi Messaoud,Algeria,Algeria,31.7023401072,6.05445186222,18124,18124
Populated place,Chlef,Algeria,Algeria,36.1704136343,1.3199604885,449167,449167
Admin-1 capital,Mascara,Algeria,Algeria,35.4004089549,0.14003250998,108230,108230
Admin-1 capital,Mostaganem,Algeria,Algeria,35.9403759959,0.0899838853,188354,130000
Admin-1 capital,Saida,Algeria,Algeria,34.8403914582,0.14003250998,142213,127497
Admin-1 capital,Tiarat,Algeria,Algeria,35.3804360138,1.3199604885,184195,184195
Admin-1 capital,Bejaia,Algeria,Algeria,36.7603776235,5.07001582706,384937,164103
Admin-1 capital,Blida,Algeria,Algeria,36.4203466991,2.8299975165,511348,265000
Admin-1 capital,Bouira,Algeria,Algeria,36.3804783315,3.90000972354,110144,110144
Admin-1 capital,Medea,Algeria,Algeria,36.2704075308,2.77000117861,147707,144020
Populated place,Souk Ahras,Algeria,Algeria,36.2903804718,7.94999507511,134947,134947
Admin-1 capital,Tebessa,Algeria,Algeria,35.4104341828,8.12001053735,171742,171742
Populated place,Lokhwabe,Botswana,Botswana,-24.1695983695,21.8300264066,1473,1473
Populated place,Lehututu,Botswana,Botswana,-23.9696105766,21.8700239651,1942,1942
Admin-1 capital,Tshabong,Botswana,Botswana,-26.0094860649,22.4000174547,9679,9679
Populated place,Tsau,Botswana,Botswana,-20.1596105766,22.4599621162,1409,1409
Populated place,Nokaneng,Botswana,Botswana,-19.6696146456,22.2699995511,1763,1763
Populated place,Mohembo,Botswana,Botswana,-18.2995690726,21.8000023994,757,757
Admin-1 capital,Maun,Botswana,Botswana,-19.9895951143,23.4200068753,49945,44173
Admin-1 capital,Kasane,Botswana,Botswana,-17.8095731417,25.1500304756,9250,6299
Populated place,Nata,Botswana,Botswana,-20.2094783337,26.1900186754,4794,191
Populated place,Mopipi,Botswana,Botswana,-21.1795483207,24.8800211168,3301,3301
Populated place,Palapye,Botswana,Botswana,-22.5596191215,27.1300129788,30650,23708
Admin-1 capital,Bururi,Burundi,Burundi,-3.95072914746,29.6165795479,20393,19740
Admin-1 capital,Muyinga,Burundi,Burundi,-2.8523465791,30.3172602933,71076,71076
Admin-1 capital,Lobatse,Botswana,Botswana,-25.2196117973,25.6800239652,69804,30883
Admin-1 capital,Kanye,Botswana,Botswana,-24.9696012179,25.3399930407,46831,44716
Admin-1 capital,Koudougou,Burkina Faso,Burkina Faso,12.2504783314,-2.3699951593,87347,83331
Admin-1 capital,Ouahigouya,Burkina Faso,Burkina Faso,13.5704236033,-2.41999210754,79504,61096
Admin-1 capital,Kaya,Burkina Faso,Burkina Faso,13.0903753855,-1.09004744608,40017,39229
Admin-1 capital,Tenkodogo,Burkina Faso,Burkina Faso,11.7804036651,-0.36970381815,38108,37658
Admin-1 capital,Banfora,Burkina Faso,Burkina Faso,10.6304480173,-4.76000431458,60288,31519
Admin-1 capital,Gitega,Burundi,Burundi,-3.42600665397,29.8435941149,23167,23167
Populated place,Boorama,Somaliland,Somaliland,9.94041261692,43.1800410551,67664,67664
Admin-1 capital,Burco,Somaliland,Somaliland,9.52038657525,45.540000365,106593,99270
Populated place,Maydh,Somaliland,Somaliland,10.9800907582,47.0975280343,30000,30000
Populated place,Curepipe,Mauritius,Mauritius,-20.3161901664,57.5166336658,299975,84200
Populated place,Dzaoudzi,French Republic,France,-12.7870890108,45.2750036202,32057,14141
Populated place,Mindelo,Cape Verde,Cape Verde,16.8837614125,-25.0000091975,70611,55313
Admin-0 capital alt,Lobamba,Swaziland,Swaziland,-26.4666674614,31.1999971097,9782,4557
Admin-1 capital,Ceuta,Kingdom of Spain,Spain,35.888983784,-5.30699935039,78674,78674
Admin-1 capital,Kasese,Uganda,Uganda,0.23247804657,29.9882881253,67269,67269
Populated place,Benoni,South Africa,South Africa,-26.1495808728,28.3299397367,2986000,605344
Populated place,Vereeniging,South Africa,South Africa,-26.6496020317,27.9599881579,1074000,474681
Populated place,El Giza,Egypt,Egypt,30.0099886261,31.1900235583,2681863,2681863
Populated place,Sfax,Tunisia,Tunisia,34.7500352163,10.7200068753,453050,277278
